domain,oldCategory,oldSubCategory,reason,reasonCode,appPresence,monthlyVisits,monthlyVisitsFormatted,trafficBand,techCount,region
google.com,SaaS & B2B,Developer Tools,Known Non-D2C platform/tool (google.com),known_non_d2c,No App,78229857909,78.2B,20M+,,Global
facebook.com,Social Media & Platforms,Social Network,Known Non-D2C platform/tool (facebook.com),known_non_d2c,No App,10813132295,10.8B,20M+,5,Global
bit.ly,FMCG,Packaged Foods,Known Non-D2C platform/tool (bit.ly),known_non_d2c,No App,462972375,463M,20M+,,Global
onelink.me,Social Media & Platforms,General,Known Non-D2C platform/tool (onelink.me),known_non_d2c,No App,315276504,315.3M,20M+,48,Global
archiveofourown.org,NGO & Non-Profit,General,Non-D2C category: NGO & Non-Profit,non_d2c_category,No App,247411428,247.4M,20M+,,Global
linktr.ee,Ecommerce/Retail,Marketplace,Known Non-D2C platform/tool (linktr.ee),known_non_d2c,No App,181360275,181.4M,20M+,,US
nta.nic.in,Government & Public Sector,Central Government,Government/Academic/Non-Profit domain (nta.nic.in),domain_tld,No App,69068139,69.1M,20M+,16,India
indiapost.gov.in,Government & Public Sector,Public Services,Government/Academic/Non-Profit domain (indiapost.gov.in),domain_tld,No App,68330460,68.3M,20M+,,India
zoho.com,SaaS & B2B,CRM & Sales,Known Non-D2C platform/tool (zoho.com),known_non_d2c,No App,64691193,64.7M,20M+,,Global
examinationservices.nic.in,Real Estate,Construction,Government/Academic/Non-Profit domain (examinationservices.nic.in),domain_tld,No App,63020650,63M,20M+,16,India
uidai.gov.in,Government & Public Sector,Central Government,Government/Academic/Non-Profit domain (uidai.gov.in),domain_tld,No App,59659422,59.7M,20M+,3,India
eci.gov.in,Government & Public Sector,Central Government,Government/Academic/Non-Profit domain (eci.gov.in),domain_tld,No App,47965709,48M,20M+,,India
jnbhi.com,Construction & Building Materials,Infrastructure,Non-D2C category: Construction & Building Materials,non_d2c_category,No App,45955681,46M,20M+,,Global
rajasthan.gov.in,Government & Public Sector,State Government,Government/Academic/Non-Profit domain (rajasthan.gov.in),domain_tld,No App,39872162,39.9M,20M+,,India
sbi.bank.in,Government & Public Sector,Retail Banking,Non-D2C category: Government & Public Sector,non_d2c_category,No App,39000472,39M,20M+,,India
gst.gov.in,Government & Public Sector,Central Government,Government/Academic/Non-Profit domain (gst.gov.in),domain_tld,No App,33310342,33.3M,20M+,,India
wb.gov.in,Government & Public Sector,State Government,Government/Academic/Non-Profit domain (wb.gov.in),domain_tld,No App,31198494,31.2M,20M+,19,India
razorpay.com,FinTech,Payment Gateway,Known Non-D2C platform/tool (razorpay.com),known_non_d2c,No App,30969837,31M,20M+,,India
indianrail.gov.in,Government & Public Sector,Central Government,Government/Academic/Non-Profit domain (indianrail.gov.in),domain_tld,No App,29346970,29.3M,20M+,,India
epfindia.gov.in,Government & Public Sector,Central Government,Government/Academic/Non-Profit domain (epfindia.gov.in),domain_tld,No App,28183366,28.2M,20M+,,India
bihar.gov.in,Government & Public Sector,State Government,Government/Academic/Non-Profit domain (bihar.gov.in),domain_tld,No App,26339322,26.3M,20M+,,India
odoo.com,Ecommerce/Retail,Marketplace,Known Non-D2C platform/tool (odoo.com),known_non_d2c,No App,26034657,26M,20M+,18,India
incometax.gov.in,Government & Public Sector,Central Government,Government/Academic/Non-Profit domain (incometax.gov.in),domain_tld,No App,23862445,23.9M,20M+,,India
tn.gov.in,Government & Public Sector,General,Government/Academic/Non-Profit domain (tn.gov.in),domain_tld,No App,22007532,22M,20M+,,India
cbse.gov.in,EdTech,General,Government/Academic/Non-Profit domain (cbse.gov.in),domain_tld,No App,21684319,21.7M,20M+,5,India
maharashtra.gov.in,Government & Public Sector,Public Services,Government/Academic/Non-Profit domain (maharashtra.gov.in),domain_tld,No App,20700384,20.7M,20M+,,India
ssc.gov.in,Government & Public Sector,Central Government,Government/Academic/Non-Profit domain (ssc.gov.in),domain_tld,No App,20509618,20.5M,20M+,,India
mp.gov.in,Government & Public Sector,State Government,Government/Academic/Non-Profit domain (mp.gov.in),domain_tld,No App,19957669,20M,5M-20M,,India
zoho.in,SaaS & B2B,CRM & Sales,Non-D2C category: SaaS & B2B,non_d2c_category,No App,19341240,19.3M,5M-20M,,India
proteantech.in,Government & Public Sector,Public Services,Non-D2C category: Government & Public Sector,non_d2c_category,No App,17990922,18M,5M-20M,,India
ap.gov.in,Government & Public Sector,State Government,Government/Academic/Non-Profit domain (ap.gov.in),domain_tld,No App,16617220,16.6M,5M-20M,11,India
up.gov.in,Government & Public Sector,State Government,Government/Academic/Non-Profit domain (up.gov.in),domain_tld,No App,15880564,15.9M,5M-20M,,India
kerala.gov.in,Government & Public Sector,Municipal & Local,Government/Academic/Non-Profit domain (kerala.gov.in),domain_tld,No App,13704178,13.7M,5M-20M,,India
meripehchaan.gov.in,Government & Public Sector,General,Government/Academic/Non-Profit domain (meripehchaan.gov.in),domain_tld,No App,13033901,13M,5M-20M,,India
npci.org.in,FinTech,Payments,Government/Academic/Non-Profit domain (npci.org.in),domain_tld,No App,11862595,11.9M,5M-20M,,India
